file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,handleContentElements/1[java.util.List<? extends org.eclipse.jdt.ls.core.internal.javadoc.ASTNode>],FALSE,1451,1,15,14,1,1,1,3,0,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,"handleBlockTags/2[java.lang.String,java.util.List<org.eclipse.jdt.ls.core.internal.javadoc.TagElement>]",FALSE,1839,2,4,1,3,4,11,20,1,2,2,11,3,12,1,0,0,0,0,0,2,0,2,0,0,0,29,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,handleSummary/1[java.util.List<? extends org.eclipse.jdt.ls.core.internal.javadoc.ASTNode>],FALSE,2031,1,1,1,0,3,4,10,1,2,1,4,0,0,0,0,0,0,1,2,2,1,2,0,0,0,24,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,handleValueTag/1[org.eclipse.jdt.ls.core.internal.javadoc.TagElement],FALSE,1619,8,2,1,1,16,13,35,4,5,1,13,1,4,1,4,1,2,0,2,6,0,7,0,0,0,30,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,sanitizePackageJavadoc/1[java.lang.String],FALSE,2234,0,1,1,0,5,4,12,2,1,1,4,0,0,0,2,0,0,0,2,2,0,2,0,0,0,22,10,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,getSourceAttachmentEncoding/1[org.eclipse.jdt.ls.core.internal.javadoc.IPackageFragmentRoot],FALSE,2468,3,2,2,0,6,7,17,2,6,1,7,0,0,1,3,0,0,0,1,6,0,4,0,0,0,23,10,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,"JavadocContentAccess2/3[org.eclipse.jdt.ls.core.internal.javadoc.IJavaElement,org.eclipse.jdt.ls.core.internal.javadoc.Javadoc,java.lang.String]",TRUE,563,7,4,3,1,1,1,9,0,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,25,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,getExceptionDescription/1[java.lang.String],FALSE,1408,3,2,1,1,13,16,40,3,9,1,16,1,11,1,3,0,0,0,7,13,0,7,0,0,0,32,0,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,"getHTMLContent/2[org.eclipse.jdt.ls.core.internal.javadoc.IJavaElement,boolean]",FALSE,588,9,7,1,6,19,17,49,9,5,2,17,5,24,0,5,1,4,1,1,8,0,4,0,0,0,78,9,0,TRUE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,parameterToHTML/0,FALSE,958,8,7,1,6,18,21,53,2,20,0,21,4,11,1,2,0,0,2,9,20,0,7,0,0,0,44,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,"getJavadocNode/2[org.eclipse.jdt.ls.core.internal.javadoc.IJavaElement,java.lang.String]",FALSE,791,5,3,2,1,3,5,13,3,4,2,5,1,1,0,2,0,0,1,2,4,1,1,0,0,0,22,10,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,"handleReturnTag/2[org.eclipse.jdt.ls.core.internal.javadoc.TagElement,java.lang.CharSequence]",FALSE,1861,2,3,1,2,4,5,17,1,0,2,5,2,11,0,3,0,0,0,0,0,0,1,0,0,0,36,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,getString/1[java.io.Reader],FALSE,887,1,1,1,0,3,3,14,2,3,1,3,0,0,1,1,1,1,0,3,3,0,2,0,0,0,19,10,0,TRUE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,createMethodInTypeLinks/1[org.eclipse.jdt.ls.core.internal.javadoc.IMethod],FALSE,693,2,1,0,1,1,3,6,1,3,1,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,14,10,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,handleSuperMethodReferences/0,FALSE,1166,1,2,1,1,4,2,12,0,1,0,2,1,1,0,2,1,0,0,0,1,0,3,0,0,0,14,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,extractBaseURL/1[java.lang.String],FALSE,2188,0,0,0,0,3,4,11,2,3,1,4,0,0,0,2,0,0,0,2,3,2,2,0,0,0,36,9,0,TRUE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,toHTML/0,FALSE,943,4,5,3,2,3,3,13,1,1,0,3,2,19,0,0,0,0,0,1,4,0,1,0,0,0,22,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2,"handleContentElements/2[java.util.List<? extends org.eclipse.jdt.ls.core.internal.javadoc.ASTNode>,boolean]",FALSE,1455,5,9,3,6,9,19,39,0,12,2,19,4,9,1,2,0,0,6,0,16,3,3,0,0,0,38,2,0,FALSE
