file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\handlers\ImplementationCollector.java,org.eclipse.jdt.ls.core.internal.handlers.ImplementationCollector,class,29,32,3,29,28,1,0,53,9,0.6666667,1,1,7,3,2,5,0,0,2,0,0,0,6,2,0,6,0,0,4,0,9,163,13,0,7,3,0,3,10,40,0,31,3,1,1,1,122,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\ResourceUtils.java,org.eclipse.jdt.ls.core.internal.ResourceUtils,class,10,27,17,10,71,1,0,63,276,0.9583333,0,0,24,23,23,1,0,0,23,0,0,0,1,1,1,0,0,0,1,0,22,240,39,3,20,6,0,31,14,34,8,25,3,1,0,2,167,17,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\internal\corext\refactoring\structure\ChangeSignatureProcessor.java,org.eclipse.jdt.internal.corext.refactoring.structure.ChangeSignatureProcessor$LambdaExpressionUpdate,innerclass,13,13,0,13,12,3,0,17,0,0.25,0.53571427,0.53571427,8,0,1,0,7,0,8,0,0,0,1,0,0,1,0,0,0,0,0,36,7,0,1,0,0,0,1,3,0,3,1,0,0,0,54,0,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\internal\corext\refactoring\structure\IntroduceParameterObjectProcessor.java,org.eclipse.jdt.internal.corext.refactoring.structure.IntroduceParameterObjectProcessor$RewriteParameterBody$1NotWrittenDetector,innerclass,4,4,0,4,4,2,0,2,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,2,0,1,1,0,0,0,19,0,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\managers\MavenBuildSupport.java,org.eclipse.jdt.ls.core.internal.managers.MavenBuildSupport,class,21,23,2,21,31,1,0,42,77,0.8673469,0.07692308,0.10989011,14,0,14,0,0,0,14,0,0,0,7,2,1,6,0,0,2,0,6,92,12,1,6,0,1,9,0,18,1,17,4,0,0,0,96,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess,class,23,25,2,23,44,1,0,40,55,0.90909094,0,0,11,10,3,7,0,1,4,0,0,0,2,2,2,0,0,0,2,0,9,160,23,1,20,5,1,3,3,35,4,32,3,0,0,0,153,17,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\preferences\CodeTemplatePreferences.java,org.eclipse.jdt.ls.core.internal.preferences.CodeTemplatePreferences$Minute,innerclass,2,2,0,2,2,2,0,3,1,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0,8,9,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\refactoring\LambdaToAnonymousClassCreationTest.java,org.eclipse.jdt.ls.core.internal.refactoring.LambdaToAnonymousClassCreationTest,class,8,8,0,8,2,2,0,12,0,0.25,1,1,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,50,0,0,0,0,0,35,0,8,0,7,0,0,0,0,45,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\managers\DefaultProjectBuildSupport.java,org.eclipse.jdt.ls.core.internal.managers.DefaultProjectBuildSupport,class,4,4,0,4,2,2,0,4,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\proposals\CUCorrectionProposal.java,org.eclipse.jdt.ls.core.internal.corrections.proposals.CUCorrectionProposal,class,11,39,28,11,12,3,6,13,33,0.6,0.13333334,0.13333334,10,0,7,0,3,0,10,0,3,0,1,0,0,1,0,0,0,0,0,44,8,0,1,1,0,1,0,3,0,3,1,0,0,0,140,1,0
